,Date_reported,New_cases_CH,Cumulative_cases_CH,New_deaths_CH,Cumulative_deaths_CH,New_cases_US,Cumulative_cases_US,New_deaths_US,Cumulative_deaths_US,l_new_us,l_new_ch,l_death_us,l_death_ch,cproducts_notbasic_ch,cproducts_ch,healthcare_ch,lag_cpnb_ch,lag_cp_ch,lag_hc_ch,SP500,COMEX_Gold,US_Tbill_10yr,DJI_Pharma,DJI_Retail,lag_SP500,lag_COMEX_Gold,lag_US_Tbill_10yr,lag_DJI_Pharma,lag_DJI_Retail,lag14_New_cases_CH,lag14_New_cases_US,lag_New_cases_CH,lag_New_cases_US,lag14_SP500,lag14_COMEX_Gold,lag14_US_Tbill_10yr,lag14_DJI_Pharma,lag14_DJI_Retail,lag14_cpnb_ch,lag14_cp_ch,lag14_hc_ch,CSI300,llag14_New_cases_CH,llag14_New_cases_US,llag_New_cases_CH,llag_New_cases_US,lSP500,lCSI300
26,2020-02-20,93,-2731,97,-1692,-29571,-2899880,-702,-98754,,2.179255371397731,,2.8622831837427585,-223.0558673469368,-3202.2290306122413,-1937.299183673471,-362.5886666666638,-3499.194666666659,-2052.4277948717972,235.7041836734702,-143.16391752577238,0.6507692307692308,-2.193724489796409,-106.98321428571376,250.5366153846162,-151.00673575129463,0.690360824742268,0.5639487179482785,-106.51943589743541,-148,-24613,1446.748717948718,-29271.097435897434,203.86791208791328,-194.53277777777703,0.8976243093922652,9.670549450549288,-191.26208791208728,-167.48521978021745,-3263.577857142851,-2079.839615384615,-124.29132653061333,1.1923189823426004,,3.6639649900666313,,0.07696499343194496,-0.02514486822731321
27,2020-02-21,589,-1839,100,-1574,-29552,-2899861,-702,-98754,-6.742276677234724,2.9913072927232593,,2.8880356798451734,-214.94586734693712,-3289.6790306122384,-1861.9091836734715,-214.37866666666378,-3177.774666666661,-1927.8277948717969,200.22418367347018,-119.46391752577233,0.5907692307692307,1.1862755102035862,-127.03321428571394,237.61661538461613,-142.20673575129467,0.650360824742268,-2.046051282051735,-105.23943589743544,-169,-24613,91.74871794871797,-29271.097435897434,207.65791208791325,-187.53277777777703,0.8676243093922652,5.400549450549306,-184.05208791208725,-356.05521978021716,-3924.3078571428505,-2295.989615384615,-119.4613265306134,1.043635784697475,,2.17743686903526,,0.06639117840905051,-0.023980191787657645
28,2020-02-24,-81,-144,132,-1218,-29553,-2899842,-702,-98754,-6.7963438985049995,1.5960038616610022,,3.1279863494757647,-218.6158673469372,-3450.8490306122403,-1808.1991836734705,-206.2686666666641,-3265.224666666658,-1852.4377948717975,88.36418367347005,-101.06391752577247,0.5107692307692306,-18.18372448979642,-172.24321428571375,202.1366153846161,-118.50673575129463,0.5903608247422679,1.3339487179482603,-125.28943589743562,2526,-24610,587.748717948718,-29252.097435897434,131.03791208791336,-174.93277777777712,0.6676243093922652,-19.14945054945065,-176.33208791208745,-798.4052197802175,-5136.45785714285,-2738.489615384615,-136.11132653061304,4.115409819189915,-8.455106938604732,2.989488790360789,-6.731972271195666,0.03230313228852921,-0.028000804931396672
29,2020-02-25,214,372,53,-1147,-29571,-2899842,-702,-98754,,2.445884034651678,,2.3800309324208246,-218.3058673469368,-3487.3090306122394,-1695.049183673471,-209.93866666666418,-3426.3946666666598,-1798.7277948717965,-9.315816326529784,-127.26391752577251,0.4607692307692308,-36.60372448979649,-203.6832142857138,90.27661538461598,-100.10673575129476,0.5103608247422678,-18.036051282051744,-170.49943589743543,2932,-24613,-83.25128205128203,-29253.097435897434,179.70791208791343,-199.53277777777703,0.7376243093922653,-6.049450549450626,-153.05208791208725,-651.1552197802175,-4754.737857142851,-2355.959615384616,-145.10132653061282,4.249604239221757,,1.5941853592985318,-6.7860394924659415,0.0015552071004307777,-0.030178433872920962
30,2020-02-26,108,783,34,-1095,-29565,-2899836,-702,-98754,-7.8949561871731095,2.216434374639483,,2.0685947739609363,-297.03586734693727,-3606.3990306122396,-2045.049183673471,-209.62866666666378,-3462.854666666659,-1685.5777948717969,-21.135816326529948,-125.46391752577233,0.4607692307692308,-33.25372448979647,-201.24321428571375,-7.403384615383857,-126.30673575129481,0.460360824742268,-36.45605128205182,-201.9394358974355,3591,-24613,212.74871794871797,-29271.097435897434,216.80791208791334,-195.83277777777698,0.7876243093922651,6.930549450549279,-141.76208791208728,-560.8752197802169,-4519.8478571428495,-1934.3196153846166,-195.9313265306132,4.43511690480222,,2.4440655322892084,,-0.0022304682403007092,-0.04258088787252845
31,2020-02-27,137,1223,11,-1066,-29571,-2899836,-702,-98754,,2.284615887055556,,1.4846468853659822,-299.8058673469368,-3406.209030612241,-1949.08918367347,-288.35866666666425,-3581.944666666659,-2035.5777948717969,-158.7658163265296,-120.66391752577238,0.4307692307692308,-59.883724489796464,-259.12321428571386,-19.22338461538402,-124.50673575129463,0.460360824742268,-33.106051282051794,-199.49943589743543,3396,-24612,106.74871794871797,-29265.097435897434,227.89791208791348,-185.43277777777712,0.7776243093922651,10.280549450549302,-140.41208791208737,-446.93521978021727,-4110.837857142851,-1547.1196153846158,-184.07132653061308,4.3837154204329565,-9.553719227272842,2.2146158722770135,-7.8846517811340515,-0.047398642340954034,-0.03967327479671745
32,2020-02-28,26,1552,26,-1022,-29568,-2899833,-702,-98754,-8.588103367733055,1.9938989109086225,,1.90154068929777,-501.1658673469374,-4028.4890306122397,-2259.6591836734715,-291.1286666666638,-3381.7546666666603,-1939.617794871796,-183.30581632653002,-179.66391752577238,0.26076923076923064,-70.41372448979644,-277.6832142857138,-156.85338461538367,-119.70673575129467,0.430360824742268,-59.73605128205179,-257.37943589743554,2850,-24613,135.74871794871797,-29271.097435897434,209.82791208791332,-181.03277777777703,0.7176243093922653,7.730549450549347,-136.2520879120873,-448.55521978021716,-3983.8078571428505,-1734.4796153846164,-328.901326530613,4.223913603253598,,2.282797384693086,,-0.05567109225522948,-0.07577221332756245
33,2020-03-02,-96,2767,24,-898,-29569,-2899831,-702,-98754,-8.993568475841219,1.525717328932831,,1.8550206736628765,-364.96586734693665,-3593.0590306122394,-2017.9491836734705,-492.48866666666436,-4004.034666666659,-2250.1877948717975,-47.2958163265298,-175.7639175257725,0.23076923076923084,-35.74372448979648,-218.41321428571382,-181.3933846153841,-178.70673575129467,0.26036082474226785,-70.26605128205176,-275.9394358974355,2684,-24613,24.748717948717967,-29268.097435897434,234.20791208791343,-177.33277777777698,0.6876243093922653,12.51054945054932,-118.22208791208732,-414.1452197802173,-3791.3478571428495,-1875.6396153846163,-199.28132653061311,4.169793487323027,,1.9920804085461512,-8.577798961693997,-0.010660227082452067,-0.043403711826039526
34,2020-03-03,-174,2895,13,-867,-29527,-2899787,-700,-98752,-5.902526022482903,1.0498714240628666,-5.623722675946245,1.5513382598646548,-343.0058673469366,-3408.6890306122405,-1772.8191836734713,-356.28866666666363,-3568.604666666659,-2008.4777948717965,-134.15581632652993,-127.36391752577242,0.15076923076923077,-55.04372448979643,-250.05321428571392,-45.383384615383875,-174.8067357512948,0.23036082474226804,-35.5960512820518,-216.6694358974355,2171,-24612,-98.25128205128203,-29269.097435897434,239.86791208791328,-184.13277777777694,0.7176243093922653,14.390549450549315,-110.10208791208743,-359.67521978021705,-3651.12785714285,-1880.249615384615,-177.59132653061306,3.981221280073905,-9.553719227272842,1.5238988265703606,-8.98326406980216,-0.03917075734435649,-0.038088193792065184
35,2020-03-04,-182,3015,20,-829,-29550,-2899766,-699,-98749,-6.642193218677741,0.9853329029252955,-5.21825756783808,1.7549372151058942,-345.84586734693676,-3157.7390306122397,-1793.5291836734705,-334.3286666666636,-3384.23466666666,-1763.3477948717973,-7.40581632652993,-121.86391752577242,0.15076923076923077,-15.02372448979645,-198.1832142857138,-132.243384615384,-126.40673575129472,0.15036082474226797,-54.89605128205176,-248.3094358974356,1721,-24613,-176.25128205128203,-29227.097435897434,261.5679120879131,-182.33277777777698,0.7476243093922653,11.110549450549343,-98.37208791208741,-321.23521978021745,-3587.9778571428506,-1762.9396153846155,-153.901326530613,3.780280861076741,,1.0480529217003962,-5.892221616443845,0.002165593596284765,-0.032314642188712384
